,0,1,2
0,1307,129,620
1,5276,5,916
2,2948,18,708
3,3168,70,723
4,3798,14,811
5,6809,101,1005
6,4074,54,842
7,3893,19,827
8,6786,27,1003
9,1220,68,616
10,2980,70,715
11,8138,78,1092
12,5492,54,931
13,4058,92,844
14,8041,7,1091
15,256,45,560
16,6706,34,996
17,4977,117,897
18,7441,70,1040
19,7950,92,1084
20,2756,32,699
21,533,59,577
22,2008,107,657
23,3892,13,822
24,1794,70,647
25,121,13,529
26,1160,50,616
27,3411,92,756
28,2919,5,706
29,5472,50,931
30,1018,30,607
31,6356,96,981
32,2776,95,703
33,1946,109,658
34,7260,92,1036
35,1038,70,606
36,1355,92,629
37,5983,95,960
38,2285,11,674
39,3933,123,826
40,2040,64,709
41,1503,101,680
42,4574,47,928
43,3824,1,865
44,8479,94,1181
45,1861,52,708
46,7959,130,1126
47,8689,26,1221
48,3108,127,770
49,5371,68,977
50,1791,101,703
51,5798,51,1008
52,2809,14,750
53,652,32,634
54,3438,46,809
55,5416,70,977
56,6546,21,1043
57,3484,34,820
58,1788,102,698
59,3044,40,781
60,3776,54,871
61,7124,45,1073
62,1707,97,695
63,4470,91,916
64,5772,101,994
65,4400,13,911
66,4219,40,917
67,3785,129,880
68,6428,5,1042
69,1927,22,708
70,3500,122,815
71,3974,45,892
72,3704,1,845
73,8422,115,1223
74,3163,131,820
75,7739,48,1161
76,2226,50,767
77,3163,131,820
78,7718,70,1165
79,4692,89,983
80,3021,44,813
81,2307,92,781
82,8386,107,1218
83,2115,50,762
84,8398,91,1223
85,2697,34,796
86,3338,46,836
87,4415,123,964
88,2529,68,794
89,7119,59,1119
90,368,59,658
91,229,129,649
92,683,54,688
93,5438,101,1029
94,6951,68,1121
95,3024,89,812
96,4019,89,934
97,7335,97,1133
98,8625,101,1254
99,1917,34,755
100,4742,34,986
101,1563,129,735
102,5517,54,1037
103,3871,92,918
104,3699,101,894
105,1602,123,738
106,3477,51,856
107,8150,55,1194
108,3406,107,845
109,4944,89,995
110,2587,131,789
111,607,34,681
112,118,81,632
113,4538,122,975
114,4184,45,950
115,2729,91,798
116,6856,115,1154
117,1626,7,787
118,2920,5,858
119,536,45,722
120,3603,14,927
121,3564,5,922
122,1466,26,777
123,846,107,751
124,4286,38,1010
125,5323,59,1070
126,5566,91,1088
127,2327,40,826
128,101,46,678
129,5315,69,1072
130,8642,32,1306
131,6871,21,1157
132,766,57,742
133,6911,68,1158
134,6030,89,1111
135,2668,26,842
136,777,107,746
137,107,7,678
138,1104,101,759
139,5515,1,1081
140,4779,27,1039
141,6600,92,1147
142,2425,92,835
143,8512,81,1294
144,2237,91,822
145,2747,117,849
146,5782,27,1094
147,8248,26,1253
148,3858,45,968
149,8217,5,1252
150,5871,47,1151
151,7131,101,1223
152,8684,130,1365
153,1075,45,809
154,2713,54,894
155,231,34,750
156,369,14,759
157,4543,14,1073
158,4703,46,1081
159,4048,26,1036
160,2306,27,879
161,2650,107,893
162,5788,129,1146
163,389,26,761
164,654,59,787
165,5277,115,1123
166,6697,32,1198
167,5548,3,1135
168,3403,8,953
169,7131,129,1220
170,1458,101,833
171,1495,51,830
172,1633,78,839
173,7045,115,1223
174,3286,128,931
175,436,13,766
176,6643,2,1193
177,5654,16,1139
178,8218,14,1347
179,486,70,822
180,4898,91,1142
181,1401,68,874
182,2849,89,956
183,4532,48,1123
184,5120,51,1155
185,5197,86,1161
186,3156,101,973
187,1143,101,860
188,1628,130,892
189,1975,59,909
190,1289,81,869
191,5329,14,1169
192,5458,68,1176
193,6150,92,1216
194,5617,81,1185
195,3049,14,963
196,7854,64,1321
197,5771,34,1195
198,7016,1,1264
199,6703,97,1253
200,7672,54,1306
201,8768,92,1434
202,7520,14,1295
203,3926,27,1080
204,7558,67,1298
205,4003,92,1082
206,5793,7,1201
207,5002,45,1149
208,1960,68,904
209,6243,120,1219
210,5459,34,1179
211,6139,92,1214
212,6802,80,1256
213,3048,26,963
214,1362,101,874
215,1688,72,889
216,3454,51,1005
217,1052,115,907
218,4567,58,1172
219,79,92,821
220,7602,101,1350
221,8147,5,1396
222,6389,130,1278
223,8234,73,1398
224,2271,80,970
225,6992,89,1314
226,2894,130,1006
227,4899,14,1197
228,7036,40,1316
229,1799,44,946
230,6275,54,1275
231,6423,46,1282
232,2810,34,1001
233,6949,59,1309
234,4826,26,1192
235,7136,18,1324
236,6769,91,1304
237,7780,54,1364
238,3721,40,1098
239,3908,6,1130
240,3405,13,1043
241,7290,68,1333
242,6867,125,1309
243,5165,127,1210
244,4808,97,1190
245,7150,89,1322
246,2384,51,976
247,5551,14,1236
248,3071,18,1015
249,1601,53,936
250,4177,54,1147
251,7302,49,1333
252,933,49,949
253,4788,52,1236
254,529,3,923
255,8681,101,1514
256,6607,45,1342
257,1547,79,989
258,3898,126,1174
259,6934,38,1363
260,1233,52,970
261,3756,88,1163
262,679,94,933
263,4923,50,1248
264,1587,68,990
265,2937,92,1062
266,8813,84,1542
267,5730,89,1293
268,5440,101,1275
269,1528,26,985
270,8584,45,1500
271,7418,88,1391
272,1329,117,974
273,6953,14,1362
274,1785,101,995
275,7113,13,1371
276,2220,27,1021
277,2580,14,1040
278,5874,63,1299
279,1596,8,985
280,6361,35,1329
281,7490,92,1399
282,8039,13,1431
283,8722,45,1528
284,1460,7,977
285,8613,88,1510
286,2827,128,1055
287,3180,123,1071
288,7380,5,1436
289,4642,101,1277
290,4942,91,1295
291,5284,14,1319
292,6262,70,1377
293,7355,92,1443
294,3620,54,1185
295,4269,130,1256
296,5974,89,1357
297,908,94,998
298,5112,14,1310
299,4354,123,1260
300,5892,15,1351
301,6367,80,1379
302,6638,92,1395
303,1621,45,1038
304,692,117,990
305,3290,89,1132
306,6913,40,1415
307,5341,91,1321
308,978,68,1003
309,8317,123,1510
310,5334,1,1320
311,6287,5,1376
312,4338,129,1261
313,216,97,951
314,5019,14,1304
315,3345,48,1137
316,687,109,986
317,6565,91,1391
318,7668,11,1454
319,1395,82,1031
320,4112,45,1243
321,4212,130,1252
322,1150,68,1015
323,5766,91,1346
324,2514,26,1090
325,5134,29,1309
326,17,92,946
327,8608,92,1602
328,3270,70,1181
329,1502,45,1081
330,6899,52,1463
331,669,1,1035
332,1029,97,1061
333,5232,51,1364
334,3652,68,1235
335,4895,51,1344
336,8017,40,1531
337,4845,54,1344
338,3126,92,1168
339,5549,46,1382
340,8667,59,1617
341,8236,64,1553
342,211,120,993
343,1611,88,1085
344,3872,107,1271
345,277,88,1003
346,2822,92,1153
347,5616,70,1387
348,1727,14,1095
349,6036,87,1411
350,127,101,985
351,2443,129,1138
352,1204,59,1069
353,5814,94,1411
354,6657,26,1444
355,7648,35,1503
