,0
0,0.535
1,0.535
2,0.535
3,0.535
4,0.535
5,0.535
6,0.535
7,0.535
8,0.535
9,0.535
10,0.535
11,0.535
12,0.536
13,0.536
14,0.536
15,0.536
16,0.536
17,0.536
18,0.536
19,0.536
20,0.536
21,0.536
22,0.536
23,0.536
24,0.537
25,0.537
26,0.537
27,0.537
28,0.537
29,0.537
30,0.537
31,0.537
32,0.537
33,0.537
34,0.537
35,0.537
36,0.537
37,0.537
38,0.537
39,0.538
40,0.538
41,0.538
42,0.538
43,0.538
44,0.538
45,0.538
46,0.538
47,0.538
48,0.538
49,0.538
50,0.538
51,0.538
52,0.538
53,0.538
54,0.538
55,0.538
56,0.538
57,0.538
58,0.538
59,0.538
60,0.538
61,0.538
62,0.538
63,0.539
64,0.539
65,0.539
66,0.539
67,0.539
68,0.539
69,0.539
70,0.539
71,0.539
72,0.539
73,0.539
74,0.539
75,0.539
76,0.539
77,0.539
78,0.539
79,0.539
80,0.539
81,0.539
82,0.539
83,0.539
84,0.539
85,0.539
86,0.539
87,0.539
88,0.539
89,0.539
90,0.539
91,0.539
92,0.539
93,0.54
94,0.54
95,0.54
96,0.54
97,0.54
98,0.54
99,0.54
